name-of-company,name-of-job,location,salary,date,application-link
Matco,C#.NET Software Developer Intern (Summer 2024),Stow OH,$60K - $95K (Glassdoor est.),0,https://www.glassdoor.com/partner/jobListing.htm?pos=926&ao=1136043&s=58&guid=0000018acae678ca9caed559f397fe00&src=GD_JOB_AD&t=SR&vt=w&cs=1_98de109a&cb=1695621216782&jobListingId=1008886014687&jrtk=5-yul1-0-1hb5ecu7pjkud800-caddc37104466b7b
"Cgi Group, Inc.",Software Developer Intern -- Entry Level,Phoenix AZ,$18.00 - $23.00 Per Hour (Employer est.),1,https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=1136043&s=58&guid=0000018acae4d895b69031064e665537&src=GD_JOB_AD&t=SR&vt=w&cs=1_8fac73b7&cb=1695621110243&jobListingId=1008884897394&jrtk=5-yul1-0-1hb5e9m63irp2800-7c0eed287be93537
Schneider Electric,Software Engineer Intern (Summer 2024),Atlanta GA,$75K - $116K (Glassdoor est.),1,https://www.glassdoor.com/partner/jobListing.htm?pos=315&ao=1136043&s=58&guid=0000018acae5045fa4b8e2149927cf78&src=GD_JOB_AD&t=SR&vt=w&cs=1_f4974c6f&cb=1695621121465&jobListingId=1008884969697&jrtk=5-yul1-0-1hb5ea14bk5rc800-d8c521eed707ca69
Onestaffmedical,Software Developer Backend Internship | Onsite | Omaha NE,Omaha NE,$17.00 - $25.00 Per Hour (Employer est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1110586&s=58&guid=0000018acae4d895b69031064e665537&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1860e3be&cb=1695621110240&jobListingId=1008884353759&cpc=5EFBB0462F9C6B7A&jrtk=5-yul1-0-1hb5e9m63irp2800-0457d5546edf96c8---6NYlbfkN0DgpVLsp0jYr14nmrEzvJ4ZXKscOp3juDGlsmLkmLaukNpm6RMPT4xr7TeAUzrmwFd8tudoGGo2gH6LrWDlNgXkwjHs_4mzrgMTQ-QdxhDI2oLpiEUgNJMbQDc1k5QgPNEi7u8G_gUkwS0p7_wNsW3LR9PqA7pBHKiibtbpE8IhyBTPIOP6N_u7Ebf6hIv3e1oRrWrSKRpPsZ9FzGU2QLIjj6JZNQYCMfOU4OUdUh2qcrmy4-WvBZE2J4o2UysH2d3Onw7R8OxOghSVLheqNPmwyMQb9ex7hzMmj7Nt9wZ0vSRxpuq47ORgU7cYIb1RfF0j6ToC2uZ0Hnn5YoEID--55Zz2WgPQ-YuOrmCBSC-3qWwXtMYymOmX_2a2kBzkegRmgx22u3d1zcLGyOuDmz38n4ydoRabxKvITky302tqT_tSWpZQRhiPBMPNoGH2LAYe0ujoqwV1CJgXVmOuBaSrvWoKbxjevC2M4DaJdilheBowMD4Y7mkkFZ3cOhIlMnY31F1LWLXzCJQo-ZDadjgxYa45kfTzXRSv7RP_DG7f_vFTTchwUhUOtt6u9z7iGCNJ1uKCG6GAoRLMrSfMIUMwOwa266T3OI1viPkUETi46GB_2GLDRZBvqhgMjlniDMdnTkr1NfQ5v0CK9fq9SzguAeWu2hlaq3OO7zEcN5oohBwsS2tjD9u9ZQZMPW9vBEbk7EpHHhjVcRLyi3aYPWsc8qEGUKirzcdtlV2wuABU1x6Oxmci8hQy
Emc Insurance,Intern-Software Engineering,Remote,,2,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1136043&s=58&guid=0000018acae4d895b69031064e665537&src=GD_JOB_AD&t=SR&vt=w&cs=1_7ac6690f&cb=1695621110243&jobListingId=1008884334909&jrtk=5-yul1-0-1hb5e9m63irp2800-a618b7b49fe7857f
Leonardo Drs,Summer 2024 Intern - Software Engineering,Dallas TX,$83K - $143K (Glassdoor est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=1136043&s=58&guid=0000018acae5045fa4b8e2149927cf78&src=GD_JOB_AD&t=SR&vt=w&cs=1_134319d3&cb=1695621121464&jobListingId=1008883467596&jrtk=5-yul1-0-1hb5ea14bk5rc800-5ad8136a777a9ec8
Northrop Grumman,2024 Software/Systems Engineer Intern - VIRTUAL/REMOTE,California,$21.75 - $27.75 Per Hour (Employer est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=408&ao=1136043&s=58&guid=0000018acae52fd989cd5933e865a6de&src=GD_JOB_AD&t=SR&vt=w&cs=1_3eb913ca&cb=1695621132578&jobListingId=1008884766343&jrtk=5-yul1-0-1hb5eac04jqu7800-54915adde5a2e5fe
Seagate Technology,Internship - Firmware/Software Engineering,Shakopee MN,$96K - $150K (Glassdoor est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=429&ao=1136043&s=58&guid=0000018acae52fd989cd5933e865a6de&src=GD_JOB_AD&t=SR&vt=w&cs=1_5f5fd99b&cb=1695621132580&jobListingId=1008884324664&jrtk=5-yul1-0-1hb5eac04jqu7800-1e106a0a571a5875
Hm Health Solutions,ETDP Intern - Software Engineering,Pennsylvania,,2,https://www.glassdoor.com/partner/jobListing.htm?pos=705&ao=1136043&s=58&guid=0000018acae5ed61be18348fd7420f4e&src=GD_JOB_AD&t=SR&vt=w&cs=1_583f6ce1&cb=1695621181178&jobListingId=1008883978498&jrtk=5-yul1-0-1hb5ebre6jktr802-105a9032f4441799
Beckman Coulter Life Sciences,Software Engineering Intern,Indianapolis IN,$60K - $93K (Glassdoor est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=722&ao=1136043&s=58&guid=0000018acae5ed61be18348fd7420f4e&src=GD_JOB_AD&t=SR&vt=w&cs=1_9e96b7e8&cb=1695621181181&jobListingId=1008884060444&jrtk=5-yul1-0-1hb5ebre6jktr802-d5cb9d25bcc092d4
"Herman Miller, Inc.",Software Engineering Intern,Michigan,$16.40 - $20.75 Per Hour (Employer est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=811&ao=1136043&s=58&guid=0000018acae6262d9b76ff091206c2dd&src=GD_JOB_AD&t=SR&vt=w&cs=1_445c4ae3&cb=1695621195638&jobListingId=1008884078899&jrtk=5-yul1-0-1hb5ec9j1k5rq800-4d3c9c257dc6273f
Universal Orlando Resort,Internship - Software Engineering Computer Science & Engineering (Spring 2024),Orlando FL,$65K - $103K (Glassdoor est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=1019&ao=1136043&s=58&guid=0000018acae6bcb68642e7eeb87fa055&src=GD_JOB_AD&t=SR&vt=w&cs=1_1050639d&cb=1695621234179&jobListingId=1008883375032&jrtk=5-yul1-0-1hb5edf7bk7e1800-43eb1fbf3f984ab8
Steris,Intern Software Engineering,Mentor OH,,2,https://www.glassdoor.com/partner/jobListing.htm?pos=1312&ao=1136043&s=58&guid=0000018acae771999ab2862b009ca77e&src=GD_JOB_AD&t=SR&vt=w&cs=1_0c814cca&cb=1695621280524&jobListingId=1008884035163&jrtk=5-yul1-0-1hb5eesefir1l800-34345fe77bfe3ef1
Western Digital,Firmware Development Engineer intern,Irvine CA,$87K - $118K (Glassdoor est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=1516&ao=1136043&s=58&guid=0000018acae7c4e899eb4311b72a0754&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_21451973&cb=1695621308234&jobListingId=1008884607448&jrtk=5-yul1-3-1hb5efnnik7ih801-1hb5efh91ir1h800
Spectrum,2024 Summer Intern: Software Engineer,Englewood CO,,2,https://www.glassdoor.com/partner/jobListing.htm?pos=2017&ao=1136043&s=58&guid=0000018acae89ce2a51292c29c35db4d&src=GD_JOB_AD&t=SR&vt=w&cs=1_6cb45634&cb=1695621357140&jobListingId=1008884252048&jrtk=5-yul1-0-1hb5eh78oj33q801-67ff8108a717c5aa
Disney,Telecommunications Software Engineer Intern Spring 2024,Orlando FL,$55K - $81K (Glassdoor est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=2111&ao=1136043&s=58&guid=0000018acae8ccd382f5a7a4efed9de9&src=GD_JOB_AD&t=SR&vt=w&cs=1_1847e148&cb=1695621369361&jobListingId=1008884429993&jrtk=5-yul1-0-1hb5ehj83jqtj800-6760a79a6ce839cb
"Woodward, Inc.",Software Engineering Intern,Fort Collins CO,$21.00 Per Hour (Employer est.),2,https://www.glassdoor.com/partner/jobListing.htm?pos=2321&ao=1136043&s=58&guid=0000018acae92a9fb3ebb56ff185d261&src=GD_JOB_AD&t=SR&vt=w&cs=1_a1ecc809&cb=1695621393400&jobListingId=1008884680432&jrtk=5-yul1-0-1hb5eiamjjjj2800-cd1b76261ad5f607
Trane Technologies,Software Engineering Intern - Life Sciences Solutions,Marietta OH,$22.00 - $27.00 Per Hour (Employer est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1110586&s=58&guid=0000018acae4d895b69031064e665537&src=GD_JOB_AD&t=SR&vt=w&cs=1_22a5d0e4&cb=1695621110240&jobListingId=1008882796329&cpc=FAE5E775D180B2FB&jrtk=5-yul1-0-1hb5e9m63irp2800-de7c4c9434855a07---6NYlbfkN0Da44vtOp6gikr8DZH0EXuV_TqGL9GOBsYLC_HWBST2HHQE6ZuzaTGDDLQ99SW7YuJqGfwKdi04HVHoyjb3iH6fqdQCTf9AU1yaEgt4mazd1PTlTO2i7cDoBwm4KvPewwLYaP2d8OruXisOFkrv7j1YjrV75Jx-T69eFHBi957fJOhFKxhsmQI_w7kqM87iBkqCpbQ-S8RUOPekhL5U6brao9px-ugC5M9hoNt-l4Yq3NYgwMQJFcRQVdhbrDep9oL74-2VQusBmDyUlGHp8h0xYe5nPUF-aMQo5g6q8kcdWBhg7_GFp8cq2NROWcwBAeiruwzl6663EVYXFtBBws69_cIzf3m28j157odyDvzMEfPEgrbbmnlA8R29t5W4zzGuiUnfXM4NeKX6ugu4nblB23ewid5q_Au2aVDk9Ja97QpUIGar_MI5E6fky4FXaBsfvgIasYMOu4-28Sg_eVigpqlD9qel0t_zjs3x8k2jZCt_QfdICRnvisP3Zl9x3zBpuMZoUvoLdmHnwGPhs6kNx85CUfj2wDasjlTHiBrjaMSFs4tKCA5N6AnzHOdg_5BsubQc0_LkfPUNnGO0OpF1ztuvfxTgNZ0IYNtQni989IVOwjHjCKPD8M-Dry8GAMdBJToqQJCuyEy_qZAIKpGalVU0XU8iE1BDnvbvt2vOPfynkYxounYahJtWGdxjgNceCDWy4uK-UJigYGF0N5Ugi1qCfDG-dNR9PHtfDPmH-8KE7V2o3ZaL04_cf9OGGgF7fE5CEKnL4lHj3UyRVS5eokZ885aKlR1mBEPpS2YPXsxLtI-kIkEbuQ2dkhnpZQxGPShZa1vu-FznbKnVECG_4qdyCKA-6CmvQ9c5f_Sq-MHYoa87vzHNoubZfdBgoVhAaaa6wGkJ7Q-lY9oM7ynqtTDZGwL2B5f3PhJsW6YiP9X9QNRqLxQP1Kxye_CAcl3mDYbFnU_R9Q_wLsFfe-Jb-0aXOey5V3u1rxLGkgMxOnSFesZYsGRgua5TB5uqLWGEQEKyQBE6BvbdurAPiGrDIOfSVchhDFp1Mb1qab4FTBwanm077wDvzbF6wh39HQ9iQt-VKcmqnGVDXE3fzkUknQ8GimVOoAi1VXZS698-Vu2Wi3dG2NWH2Ow19ed_MyfsqE_AmrUZBDon5-kCFgRZdLpEjlCu5akSGznsrTLGrCqThbVtP4_l-jhz56glNud1axhkMfe-w5XNnkXpt9eB-HgX4bEThxbGFfXisO6XG6eudknIHDw_v3UsrCIGR1IWUVsgIwZHwn2BFyWm9HYAtF1OU3OQnhf7O-Fm1hN3caJDFiNsosQhAXmxhRyEU0SoOLOCatBpYYrMdkICX6mrUuvvm-M3hzUUuVjNxD6RHDUO_j3yWviugd3zEjBSyE4Nrb3IIPymHceEJvOchKX9PRR1wy1dhuJ4dFtFNSgjJvV-DNffTY_GPT9L5mM-WPM%3D
Corteva,Software Engineer Intern,Des Moines IA,$65K - $95K (Glassdoor est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=808&ao=1136043&s=58&guid=0000018acae6262d9b76ff091206c2dd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d11bf565&cb=1695621203098&jobListingId=1008807833859&jrtk=5-yul1-3-1hb5ech19k7gj801-1hb5ec9j1k5rq800
Microsoft,Software Engineer: Internship Opportunities for University Students Minneapolis,Minneapolis MN,$5K - $10K (Employer est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=824&ao=1136043&s=58&guid=0000018acae6262d9b76ff091206c2dd&src=GD_JOB_AD&t=SR&vt=w&cs=1_cb07c620&cb=1695621195640&jobListingId=1008882989115&jrtk=5-yul1-0-1hb5ec9j1k5rq800-b8af47cd4e85fb71
Arup,Software Development Intern (Available June 2024),Houston TX,$54K - $88K (Glassdoor est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=1227&ao=1136043&s=58&guid=0000018acae7168896e3f6a5b5441cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0a2e7610&cb=1695621278119&jobListingId=1008882221182&jrtk=5-yul1-3-1hb5eeqalg0nn801-1hb5ee5lmikei800
Siemens Healthineers,Software Engineering Internship,Knoxville TN,$58K - $93K (Glassdoor est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=1309&ao=1136043&s=58&guid=0000018acae771999ab2862b009ca77e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8a9bf046&cb=1695621283399&jobListingId=1008881967884&jrtk=5-yul1-3-1hb5eevga2fbn001-1hb5eesefir1l800
Clarity Partners Llc,Software Development Internship,Chicago IL,$26.00 - $31.00 Per Hour (Employer est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=1819&ao=1136043&s=58&guid=0000018acae831fbb511fb1cc5828e9e&src=GD_JOB_AD&t=SR&vt=w&cs=1_91f77055&cb=1695621329743&jobListingId=1008882935468&jrtk=5-yul1-0-1hb5egch7k7e1803-ecd7a02ee699a4c9
Tyler Technologies,Software Development Intern (ERP) - Summer 2024,Yarmouth ME,,3,https://www.glassdoor.com/partner/jobListing.htm?pos=2625&ao=1136043&s=58&guid=0000018acae9ac488ee5e1587aad1b57&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_45334e90&cb=1695621431094&jobListingId=1008882783369&jrtk=5-yul1-3-1hb5ejfnlikf8801-1hb5ejb3n2gtm001
Elbit Systems Of America,Software Engineering Intern - Spring 2024,Fort Worth TX,$64K - $100K (Glassdoor est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=2727&ao=1136043&s=58&guid=0000018acae9c63f8243222254edc133&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_69a29bf0&cb=1695621433228&jobListingId=1008882791611&jrtk=5-yul1-0-1hb5ejhjtjjjn800-a941efeb9ea5a158
Inclusively,Technology Developer Summer Internship Program 2024 (Whippany),Whippany NJ,,3,https://www.glassdoor.com/partner/jobListing.htm?pos=2915&ao=1136043&s=58&guid=0000018acaea7570bd01a0c7fea153e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_25b32df4&cb=1695621478285&jobListingId=1008881932054&jrtk=5-yul1-0-1hb5ekthsjkud800-142c73098e55efe5
Ideas,Application Developer Intern,Bloomington MN,$58K - $84K (Glassdoor est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=2922&ao=1136043&s=58&guid=0000018acaea7570bd01a0c7fea153e0&src=GD_JOB_AD&t=SR&vt=w&cs=1_ce5b2966&cb=1695621478286&jobListingId=1008882871063&jrtk=5-yul1-0-1hb5ekthsjkud800-09b7d9513d88d579
Motorola Solutions,2024 Summer Internship - Software Engineer,University of Richmond VA,$72K - $99K (Glassdoor est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=3011&ao=1136043&s=58&guid=0000018acaeaa6ae907d2501080b0abf&src=GD_JOB_AD&t=SR&vt=w&cs=1_051f3ef3&cb=1695621490765&jobListingId=1008882130983&jrtk=5-yul1-0-1hb5el9msjkt0800-fb0329b9a8f6f872
Astronautics Corporation Of America,Software Engineering Intern,Oak Creek WI,$63K - $96K (Glassdoor est.),3,https://www.glassdoor.com/partner/jobListing.htm?pos=3017&ao=1136043&s=58&guid=0000018acaeaa6ae907d2501080b0abf&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_039d2c64&cb=1695621490766&jobListingId=1008883144643&jrtk=5-yul1-0-1hb5el9msjkt0800-c3553d498d71702f
Colgate-Palmolive,Application & Software Development Internship,Piscataway NJ,$21.50 - $31.00 Per Hour (Employer est.),4,https://www.glassdoor.com/partner/jobListing.htm?pos=201&ao=1110586&s=58&guid=0000018acae4d895b69031064e665537&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6f966973&cb=1695621111848&jobListingId=1008879943155&cpc=0FE1F5EA2BC84A01&jrtk=5-yul1-3-1hb5e9nu8jjhk801-1hb5e9m63irp2800---6NYlbfkN0CScSxRBn_n5hzPBw7DFYVJJAQwrBP-UaBS3EDdzxnGq0kBlOdpQR4kH5pPl2jIuEQiKLnMpwZd3urOeFI9iMhjBVDB8ci8TRb0n14QWJwkH4IVi0YdzgLCO7SAg6LfXxhTuOiSoguJ1neJCjSXcMYqtpLrviVqfM0usjyhAHtpaumWQunt13334vdSkW1RZ5Rp93wgIxHVxzcK9vTM6mDvmYf5oKRE8o3KWjhDBHje8BZWCS37iWd5LJQnnHVoyTi-mqUidU8PgeDK9nNimLK1fhfUH-kVKKsfH_qbGINWfy2vVCFcEUig0TG_BiRHHCnOJiaP1pPzW8kMq8wa1q7StdeSQyLVw7PIjdgnz6H6EpIE1_QvtYt6cQyIGQQgj9mO-lKx-S6bhni6YRi18ugpO_D14jhCWBhamFmxOq3UIBcbNSJ2vELgF4Za9XW453CY_IqOszmQJlA0TelJFFLgI21sHT0thmKv7Maiha0kqKlvTMo3qgDmYgHjESLa5IxjGsP3ZJZ-mn2D7T5PBuNOBmbgj8nX0QtDHAAZ-peTgJcb1njKnQ-9C82Rl98WWeNNQQRcLqHGolc1iqA_weMtqdtD7gLw5kSA5SWMvkz-lUuLH76Oanf2hJxw6g42R1uPB9-4jaABrLxAQI8q3DgO33cohwIUucMIhfHSeWsXS95wCYJeCP8G1ap6vshftxGkrfVBFwFoMh0wEIuJVHy47vvYv4WtP5OcrgtTBejB_7q7CzGmnD8a
