name-of-company,name-of-job,location,salary,date,application-link
PIMCO,2024 Summer Intern - Technology Analyst Software Engineering US,Newport Beach CA,$14K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018a8662c71596d0fae582615f2b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b365257e&cb=1694471753474&jobListingId=1008646590213&jrtk=5-yul1-3-1ha3663l2j4pk801-1ha365hqhipag800
Turion Space,Software Intern,Irvine CA,$70K - $85K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018a8662c71596d0fae582615f2b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7e70c213&cb=1694471743620&jobListingId=1008560449374&jrtk=5-yul1-3-1ha365q29k7rp801-1ha365hqhipag800
Tesla,Internship Digital Design Developer Design Studio (Winter/Spring 2024),Hawthorne CA,$100K - $156K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=1136043&s=58&guid=0000018a86620c97af3cc754742dacea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_59aa2878&cb=1694471702220&jobListingId=1008806286946&jrtk=5-yul1-3-1ha364hjnked9801-1ha364377jku2801
Tesla,Internship Frontend Software Engineer UI Design (Winter/Spring 2024),Hawthorne CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=1136043&s=58&guid=0000018a8663334797cd7106b92ae5e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_71ace12b&cb=1694471782780&jobListingId=1008789108472&jrtk=5-yul1-3-1ha3670942k8a001-1ha366cruje1d800
ESRI Inc.,Information Technology - Application Developer Internships,Redlands CA,$30.00 - $34.00 Per Hour (Employer est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018a8662c71596d0fae582615f2b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8ce66888&cb=1694471756371&jobListingId=1008853690829&jrtk=5-yul1-3-1ha3666fjk6qp801-1ha365hqhipag800
AeroVironment,Engineering Intern Software,Simi Valley CA,$21.00 - $31.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=1136043&s=58&guid=0000018a8663334797cd7106b92ae5e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6f1ca5f9&cb=1694471767501&jobListingId=1008290530573&jrtk=5-yul1-3-1ha366hbn2i96001-1ha366cruje1d800
ServiceNow,Digital Technology (DT) - Software Engineer Internships - Summer 2024,San Diego CA,$47.82 - $50.02 Per Hour (Employer est.),10d,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1136043&s=58&guid=0000018a86619efd8cfcb10f6e311f91&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dc0b4c71&cb=1694471681722&jobListingId=1008844743555&jrtk=5-yul1-3-1ha363tjikedk801-1ha3637qck6qe800
Relativity Space Intern Job Board,Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),18d,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018a86619efd8cfcb10f6e311f91&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_58039ad4&cb=1694471674754&jobListingId=1008832289017&jrtk=5-yul1-3-1ha363mqfl21n801-1ha3637qck6qe800
DoorDash,Software Engineer Intern (Summer 2024),Los Angeles CA,,24d,https://www.glassdoor.com/partner/jobListing.htm?pos=321&ao=1136043&s=58&guid=0000018a86626ace8f9cb08a2e23b2f5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_58bd99ca&cb=1694471727548&jobListingId=1008820206253&jrtk=5-yul1-3-1ha365abm2m5o001-1ha364qo3irrp800
PRICE WATERHOUSE COOPERS,Consulting – Products & Solutions – Software Engineering Intern - Summer 2024,San Diego CA,$75K - $106K (Glassdoor est.),16d,https://www.glassdoor.com/partner/jobListing.htm?pos=323&ao=1136043&s=58&guid=0000018a86626ace8f9cb08a2e23b2f5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_071ca47e&cb=1694471729292&jobListingId=1008834913825&jrtk=5-yul1-3-1ha365bvuk6qn801-1ha364qo3irrp800
Tencent,Game Research & Development Intern Engine Research,Los Angeles CA,$24.80 - $57.69 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1136043&s=58&guid=0000018a86620c97af3cc754742dacea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1e6b77ce&cb=1694471699523&jobListingId=1008596704133&jrtk=5-yul1-3-1ha364f00j32b801-1ha364377jku2801
Relativity Space Intern Job Board,Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),17d,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=0000018a86620c97af3cc754742dacea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bc548ee6&cb=1694471696534&jobListingId=1008832698767&jrtk=5-yul1-3-1ha364c2mkia4801-1ha364377jku2801
Rocket Lab USA,Summer 2024 Internship/ Co-Op - Software,Long Beach CA,$30.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018a8663334797cd7106b92ae5e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_670b9e4f&cb=1694471784441&jobListingId=1008759473054&jrtk=5-yul1-3-1ha3671tai3pt801-1ha366cruje1d800
Shure,Application Software Development Intern,Irvine CA,$26.00 - $44.00 Per Hour (Employer est.),4d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018a8662c71596d0fae582615f2b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a0abeda8&cb=1694471742957&jobListingId=1008857791015&jrtk=5-yul1-3-1ha365pdal231801-1ha365hqhipag800
FYI,Software QA Testing Internship,Los Angeles CA,$16.78 Per Hour (Employer est.),4d,
Comentum Corp,Intern Developer: Web Application / Mobile App,San Diego CA,$94K - $146K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=1136043&s=58&guid=0000018a8663334797cd7106b92ae5e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cb569f28&cb=1694471787950&jobListingId=1005868193108&jrtk=5-yul1-3-1ha3675a4j31r801-1ha366cruje1d800
The Trade Desk,2024 Software Engineering Intern - North America,Irvine CA,$124K - $187K (Glassdoor est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=317&ao=1136043&s=58&guid=0000018a86639779ba3df136bdd3cf57&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_406335c2&cb=1694471803271&jobListingId=1008827805428&jrtk=5-yul1-3-1ha367ka8j331801-1ha3675tjj4ot800
Relaymile,Frontend Software Engineer Internship,Los Angeles CA,$98K - $158K (Glassdoor est.),30d+,
Broadata Communications,Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=1136043&s=58&guid=0000018a86626ace8f9cb08a2e23b2f5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7b77f2b6&cb=1694471717249&jobListingId=1008654832170&jrtk=5-yul1-3-1ha36509qiqvi801-1ha364qo3irrp800
Lunar Digital Assets,Front End UI/UX Development Intern,Los Angeles CA,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018a86619efd8cfcb10f6e311f91&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a0bc0189&cb=1694471677065&jobListingId=1008116975762&jrtk=5-yul1-3-1ha363p1d2gtc001-1ha3637qck6qe800
Arup,Software Development Intern (Available June 2024),Los Angeles CA,$23.50 - $35.00 Per Hour (Employer est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018a86619efd8cfcb10f6e311f91&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3a2d2401&cb=1694471671914&jobListingId=1008854047557&jrtk=5-yul1-3-1ha363k1al21n801-1ha3637qck6qe800
Numecent Inc.,Software Development Internship,Irvine CA,$18.00 - $20.00 Per Hour (Employer est.),30d+,
Infineon Technologies,Intern - Firmware Development Power Electronics Engineering,El Segundo CA,$32.50 Per Hour (Employer est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=517&ao=1136043&s=58&guid=0000018a866450e3a87c4905b5293cfe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_daa3bfe1&cb=1694471848203&jobListingId=1008853860643&jrtk=5-yul1-3-1ha36905uk798801-1ha368k8pkohk800
Futronics (NA) Corporation,Software Engineering Intern,Pasadena CA,$71K - $107K (Glassdoor est.),30d+,
Melissa Global Intelligence,On-Site Software Engineer Intern,Rancho Santa Margarita CA,$40K - $80K (Employer est.),6d,
SiO Digital,Web Design and Development Intern,San Diego CA,$55K - $91K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=403&ao=1136043&s=58&guid=0000018a8663ffdea0daef115afc2451&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_336606c7&cb=1694471818490&jobListingId=1006337644685&jrtk=5-yul1-3-1ha36835pi3qr801-1ha368054k6qk800
Skyworks,Software Engineering Summer Intern - 2024,Irvine CA,$22.50 - $42.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018a86619efd8cfcb10f6e311f91&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_98594c2e&cb=1694471667929&jobListingId=1008799312320&jrtk=5-yul1-3-1ha363g4bk6qs801-1ha3637qck6qe800
ESRI Inc.,ArcGIS Software Products Internships,Redlands CA,$30.00 - $35.50 Per Hour (Employer est.),9d,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000018a8662c71596d0fae582615f2b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5f8c8017&cb=1694471759239&jobListingId=1008847614962&jrtk=5-yul1-3-1ha3669agj32b801-1ha365hqhipag800
