name-of-job,location,salary,date,name-of-company,application-link
Fall 2023 Software Engineering (Firmware) Intern,Irvine CA,$113K - $173K (Glassdoor est.),30d+,,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018a2c269cfc89f5be67d9786c05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8d6c4b31&cb=1692957853421&jobListingId=1008677014979&jrtk=5-yul1-3-1h8m2dhkui3rn801-1h8m2d79kih3e800
2024 Summer Intern - Technology Analyst Software Engineering US,Newport Beach CA,$14K (Employer est.),30d+,,https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_092f06d3&cb=1692957910402&jobListingId=1008646590213&jrtk=5-yul1-3-1h8m2f99hipa5801-1h8m2ei0hjqtr800
Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),24h,,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1136043&s=58&guid=0000018a2c27bb649c342378ff2518b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1042eac1&cb=1692957929466&jobListingId=1008832698767&jrtk=5-yul1-3-1h8m2frtsikr6801-1h8m2fesj2cja000
Engineering Intern Software,Simi Valley CA,$21.00 - $31.00 Per Hour (Employer est.),30d+,AeroVironment,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=0000018a2c27bb649c342378ff2518b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_abb3bc0d&cb=1692957924904&jobListingId=1008290530573&jrtk=5-yul1-3-1h8m2fnf2j3ud801-1h8m2fesj2cja000
Engineering Intern Software,Simi Valley CA,$21.00 - $31.00 Per Hour (Employer est.),30d+,AeroVironment,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1136043&s=58&guid=0000018a2c27bb649c342378ff2518b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_abb3bc0d&cb=1692957936520&jobListingId=1008290530573&jrtk=5-yul1-3-1h8m2g2q9j4qp801-1h8m2fesj2cja000
Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,Broadata Communications,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=1136043&s=58&guid=0000018a2c26ede184dc6de02f29cf52&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d89f3319&cb=1692957870759&jobListingId=1008654832170&jrtk=5-yul1-3-1h8m2e2g92cj9001-1h8m2drgii3pv800
Part Time Intern in Embedded Software Engineering,Torrance CA,$20.00 - $24.00 Per Hour (Employer est.),30d+,Broadata Communications,https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=1136043&s=58&guid=0000018a2c27fe1aa98cb16df7fdb7b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6bf0d61a&cb=1692957940447&jobListingId=1008654832170&jrtk=5-yul1-3-1h8m2g6kviqvs801-1h8m2fvi7j4q5800
Intern - Software Operations Back-End,Torrance CA,$35.00 Per Hour (Employer est.),14d,Canoo Technologies Inc.,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018a2c269cfc89f5be67d9786c05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cf5a539c&cb=1692957859413&jobListingId=1008809847061&jrtk=5-yul1-3-1h8m2dngvikr6801-1h8m2d79kih3e800
Intern - Software Operations Back-End,Torrance CA,$35.00 Per Hour (Employer est.),14d,Canoo Technologies Inc.,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4e120621&cb=1692957913117&jobListingId=1008809847061&jrtk=5-yul1-3-1h8m2fbv8i458801-1h8m2ei0hjqtr800
Intern Developer: Web Application / Mobile App,San Diego CA,$94K - $146K (Glassdoor est.),30d+,Comentum Corp,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=1136043&s=58&guid=0000018a2c27bb649c342378ff2518b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f5caf9a6&cb=1692957919698&jobListingId=1005868193108&jrtk=5-yul1-3-1h8m2fic3je28801-1h8m2fesj2cja000
Software Engineer Intern (Summer 2024),Los Angeles CA,,7d,DoorDash,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=1136043&s=58&guid=0000018a2c26ede184dc6de02f29cf52&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6a39dff8&cb=1692957877923&jobListingId=1008820206253&jrtk=5-yul1-3-1h8m2e9i9ir15801-1h8m2drgii3pv800
Software Engineer Intern (Summer 2024),Los Angeles CA,,7d,DoorDash,https://www.glassdoor.com/partner/jobListing.htm?pos=416&ao=1136043&s=58&guid=0000018a2c283cf6bd1e08373214abdb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_521bb92f&cb=1692957959155&jobListingId=1008820206253&jrtk=5-yul1-3-1h8m2gosqirps801-1h8m2gf95k7p8801
Software Engineering Intern,Pasadena CA,$71K - $107K (Glassdoor est.),30d+,Futronics (NA) Corporation,
Front End UI/UX Development Intern,Los Angeles CA,,30d+,Lunar Digital Assets,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1136043&s=58&guid=0000018a2c269cfc89f5be67d9786c05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_deb8080c&cb=1692957861207&jobListingId=1008116975762&jrtk=5-yul1-3-1h8m2dp8rjji9801-1h8m2d79kih3e800
Front End UI/UX Development Intern,Los Angeles CA,,30d+,Lunar Digital Assets,https://www.glassdoor.com/partner/jobListing.htm?pos=316&ao=1136043&s=58&guid=0000018a2c27fe1aa98cb16df7fdb7b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6c721db6&cb=1692957942813&jobListingId=1008116975762&jrtk=5-yul1-3-1h8m2g8uije2g801-1h8m2fvi7j4q5800
Software Engineering: Intern Opportunities for University Students San Diego,San Diego CA,$5K - $10K (Employer est.),9d,Microsoft,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1136043&s=58&guid=0000018a2c27bb649c342378ff2518b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_71fa25ff&cb=1692957927036&jobListingId=1008815002776&jrtk=5-yul1-3-1h8m2fphmj4qp801-1h8m2fesj2cja000
Software Engineering: Intern Opportunities for University Students San Diego,San Diego CA,$5K - $10K (Employer est.),9d,Microsoft,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1136043&s=58&guid=0000018a2c27bb649c342378ff2518b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_71fa25ff&cb=1692957938467&jobListingId=1008815002776&jrtk=5-yul1-3-1h8m2g4n52bbq001-1h8m2fesj2cja000
Software Engineering & Application Development Internship Program for Students,San Diego CA,$75K - $110K (Glassdoor est.),30d+,"Noveda Technologies, Inc",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5d5c45c5&cb=1692957915158&jobListingId=1005663870962&jrtk=5-yul1-3-1h8m2fdugje2i801-1h8m2ei0hjqtr800
Software Development Internship,Irvine CA,$18.00 - $20.00 Per Hour (Employer est.),30d+,"Numecent, Inc.",
2024 Summer Intern - Technology Analyst Software Engineering US,Newport Beach CA,$14K (Employer est.),30d+,PIMCO,https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=0000018a2c269cfc89f5be67d9786c05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f2514dab&cb=1692957856126&jobListingId=1008646590213&jrtk=5-yul1-3-1h8m2dk9kirr2801-1h8m2d79kih3e800
NextJS & Flutter Developer Intern,Costa Mesa CA,$40K - $60K (Employer est.),14d,"Patriot Conceptions, LLC",
Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),24h,Relativity Space Intern Job Board,https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018a2c269cfc89f5be67d9786c05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f9b844a2&cb=1692957857871&jobListingId=1008832289017&jrtk=5-yul1-3-1h8m2dm0uje3k801-1h8m2d79kih3e800
Test Engineer Intern - Electrical and Software [Long Beach] - Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),24h,Relativity Space Intern Job Board,https://www.glassdoor.com/partner/jobListing.htm?pos=202&ao=1136043&s=58&guid=0000018a2c26ede184dc6de02f29cf52&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ecb2a473&cb=1692957866991&jobListingId=1008832698767&jrtk=5-yul1-3-1h8m2dutm2gah001-1h8m2drgii3pv800
Software Engineer Intern-Summer 2024,Long Beach CA,$28.00 - $36.00 Per Hour (Employer est.),24h,Relativity Space Intern Job Board,https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1dfb6876&cb=1692957908349&jobListingId=1008832289017&jrtk=5-yul1-3-1h8m2f7a52do2001-1h8m2ei0hjqtr800
Frontend Software Engineer Internship,Los Angeles CA,$97K - $157K (Glassdoor est.),29d,Relaymile,
Backend Software Engineer Internship,Los Angeles CA,$101K - $164K (Glassdoor est.),29d,Relaymile,
Software Marketing Internship,San Diego CA,$62K - $107K (Glassdoor est.),30d+,RipeMetrics,
Summer 2024 Internship/ Co-Op - Software,Long Beach CA,$30.00 Per Hour (Employer est.),30d+,Rocket Lab USA,https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=0000018a2c2747e4991db853a96e9565&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bff8b422&cb=1692957906177&jobListingId=1008759473054&jrtk=5-yul1-3-1h8m2f55r2ee8001-1h8m2ei0hjqtr800
